type,message
0,"Go until jurong point , crazy . . Available only in bugis n great world la e buffet ... Cine there got amore wat ..."
0,Ok lar ... Joking wif u oni ...
1,Free entry in [NUMBER] a wkly comp to win [MISC] [MISC] final tkts [DATE] [DATE] [DATE] . Text FA to [NUMBER] to receive entry question ( [CAUSE_OF_DEATH] txt rate ) [ORGANIZATION] 's apply 08452810075over18 's
0,U dun say so early hor ... U c already then say ...
0,"Nah I do n't think he goes to usf , he lives around here though"
1,"FreeMsg Hey there darling it 's been [DATE] [DATE] 's [DATE] and no word back ! I 'd like some fun you up for it still ? [CAUSE_OF_DEATH] ok ! XxX [CAUSE_OF_DEATH] chgs to send , [MONEY] [MONEY] to rcv"
0,Even my brother is not like to speak with me . They treat me like [CAUSE_OF_DEATH] patent .
0,As per your request ' [PERSON] [PERSON] ( Oru Minnaminunginte Nurungu Vettam ) ' has been set as your callertune for all Callers . Press * [NUMBER] to copy your friends [PERSON]
1,WINNER !! As a valued network customer you have been selected to receivea [MONEY] [MONEY] prize reward ! To claim call [NUMBER] . Claim code KL341 . Valid [DURATION] [DURATION] only .
1,Had your [TITLE] [DURATION] [DURATION] or more ? U R entitled to Update to the latest colour mobiles with camera for Free ! Call The [TITLE] Update Co FREE on [NUMBER]
0,"I 'm gon na be home soon and i do n't want to talk about this stuff anymore [DATE] , k ? I 've cried enough [DATE] ."
1,"[NUMBER] chances to win CASH ! From [NUMBER] to [MONEY] [MONEY] txt > CSH11 and send to [NUMBER] . Cost 150p/day , 6days , [NUMBER] + TsandCs apply Reply HL [NUMBER] info"
1,URGENT ! You have won a [DURATION] [DURATION] FREE membership in our [MONEY] [MONEY] Prize Jackpot ! Txt the word : CLAIM to No : [NUMBER] T&C [URL] LCCLTD POBOX 4403LDNW1A7RW18
0,I 've been searching for the right words to thank you for this breather . I promise i wont take your help for granted and will fulfil my promise . You have been wonderful and a blessing at all times .
0,I HAVE A DATE ON [DATE] WITH WILL !!
1,"XXXMobileMovieClub : To use your credit , click the WAP link in the next txt message or click here >> [URL] . xxxmobilemovieclub.com?n = QJKGIGHJJGCBL"
1,"[COUNTRY] v [COUNTRY] - dont miss the goals/team news . Txt ur national team to [NUMBER] eg [COUNTRY] to [NUMBER] Try : [LOCATION] , [COUNTRY] [NUMBER] [NUMBER] POBOXox36504W45WQ [NUMBER] +"
1,Thanks for your subscription to Ringtone [COUNTRY] your [TITLE] will be charged [MONEY] [MONEY] Please confirm by replying YES or NO . If you reply NO you will not be charged
1,[NUMBER] - [PERSON] [PERSON] - MSG = We tried to call you re your reply to our sms for a free nokia [TITLE] + free camcorder . Please call [DATE] [NUMBER] for delivery [DATE]
